Date,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP,__CASH__
2023-10-30,0.0,1.8041124150158794e-16,0.0,5.025826421913953e-16,5.412337245047638e-16,7.355227538141662e-16,0.0,3.469446951953614e-16,0.9999999999999977
2023-11-06,0.0,0.0,1.489806953569844e-16,0.0,5.83254992128601e-17,0.0,0.0,0.0,0.9999999999999998
2023-11-13,4.3801632317589074e-17,1.8198921507866656e-16,0.0,1.4878739173371144e-16,0.0,0.0,2.5673108718857264e-17,0.0,0.9999999999999996
2023-11-20,4.233886586854739e-14,0.0,4.204579274202922e-15,0.0,0.0,0.0,0.0,0.0,0.9999999999999535
2023-11-28,0.0,3.44988049087204e-17,4.209135413802377e-16,5.604774660334343e-16,5.090769656952016e-16,0.0,6.618442281719613e-16,0.0,0.9999999999999978
2023-12-05,0.0,1.0091570473869312e-12,6.768991517100119e-15,3.2909932393169936e-14,0.0,4.922033185853923e-14,1.2083270575914277e-13,1.260834709209775e-12,0.9999999999975203
2023-12-12,0.0,2.8324021535841836e-16,1.7530370768948994e-16,0.0,6.423475216583017e-16,1.4464568848049108e-16,1.0706212552697238e-16,7.420450183502264e-16,0.9999999999999979
2023-12-19,0.0,0.0,4.399872628253372e-16,0.0,3.378645020007953e-16,0.0,0.0,0.0,0.9999999999999992
2023-12-27,0.0,1.7418560752188077e-15,1.496069353954946e-16,1.4474222566921387e-15,0.0,2.7664373162830654e-17,0.0,2.8331863001253686e-15,0.9999999999999938
2024-01-04,1.800636560722901e-16,0.0,0.0,2.3223703508885265e-17,0.0,0.0,0.0,4.1199169702469386e-18,0.9999999999999998
2024-01-11,0.0,0.0,1.0154424642978788e-16,0.0,1.4558568457429462e-16,0.0,1.2081107203556045e-16,0.0,0.9999999999999997
2024-01-19,3.193000093073216e-13,0.0,0.0,0.0,2.2891261324699496e-13,0.0,0.0,0.0,0.9999999999994518
2024-01-26,1.3141299277621743e-16,6.522532211706417e-17,2.0011636452360576e-17,0.0,1.3584213963793874e-16,3.2657467116208367e-16,0.0,0.0,0.9999999999999993
2024-02-02,6.038364982085509e-14,0.0,0.0,0.0,1.452185570247296e-14,0.0,0.0,0.0,0.9999999999999251
2024-02-09,2.998547893662783e-16,6.393792799018869e-17,5.4906809767004135e-18,0.0,0.0,0.0,2.5499473582115033e-17,8.100090709553659e-17,0.9999999999999996
2024-02-16,2.5269241778817428e-17,0.0,0.0,1.3406154330658895e-16,0.0,0.0,0.0,0.0,0.9999999999999999
2024-02-26,0.0,1.1019898643778447e-18,0.0,4.7071684638690783e-17,0.0,0.0,0.0,0.0,1.0
2024-03-04,2.7755575615628914e-17,3.469446951953614e-17,0.0,6.607345284224233e-17,9.094780403884777e-17,3.469446951953614e-17,0.0,1.3877787807814457e-17,0.9999999999999998
2024-03-11,1.420978501846874e-17,0.0,1.1165244203571365e-17,0.0,1.6875535346331952e-16,0.0,1.797849929859914e-17,1.3297043490331187e-16,0.9999999999999997
2024-03-18,2.2857750204068526e-16,0.0,0.0,0.0,4.861001369183252e-16,0.0,1.2961860765167323e-16,0.0,0.9999999999999991
2024-03-25,1.4777340107844463e-13,3.722831768172236e-15,3.628514374660201e-15,3.7224279603929415e-14,0.0,1.214735164191566e-13,3.349557969888463e-15,1.3071696405026282e-13,0.9999999999995521
2024-04-02,8.702076283034631e-16,0.0,0.0,0.0,1.3720574903605705e-15,0.0,0.0,0.0,0.9999999999999978
2024-04-09,7.725265393454369e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999227
2024-04-16,2.1852258402770505e-16,0.0,7.632428599251288e-18,0.0,2.495760956583584e-16,0.0,0.0,1.2820179905612838e-16,0.9999999999999994
2024-04-23,0.0,4.0597578480576354e-14,1.9177426510294546e-14,9.719263945522497e-15,9.425881126104363e-16,3.1305805942720575e-14,1.0277144274321443e-14,5.345321818235193e-10,0.9999999994653558
2024-04-30,1.8639771582849515e-17,0.0,0.0,3.2507668576849602e-18,0.0,0.0,0.0,0.0,1.0
2024-05-07,1.3762931463655754e-16,0.0,0.0,2.0605138541867374e-17,0.0,0.0,0.0,1.021441001560901e-17,0.9999999999999998
2024-05-14,0.0,2.3809096896594806e-15,2.097312174876241e-16,9.31096976122834e-16,2.9934684091316665e-16,0.0,6.927703912114091e-16,1.3068735619391692e-15,0.9999999999999942
2024-05-21,4.145489326692152e-17,0.0,1.6729239521451333e-16,0.0,2.1577367081203037e-16,5.681219383824043e-17,0.0,0.0,0.9999999999999996
2024-05-29,3.07277786618101e-16,0.0,0.0,0.0,4.861375664781014e-16,0.0,8.450763011461429e-17,0.0,0.9999999999999991
2024-06-05,0.0,0.0,6.528929957436147e-17,5.3939058081153846e-18,7.860465750519907e-17,0.0,1.680513367352532e-17,0.0,0.9999999999999999
2024-06-12,0.0,5.663901009262494e-18,1.953285647627858e-16,0.0,5.534643392869953e-17,0.0,0.0,0.0,0.9999999999999998
2024-06-20,0.0,1.8130009882631762e-16,1.8657104649182963e-16,1.4940520754979228e-16,0.0,8.984177212347272e-17,2.3378425451962113e-17,1.2415159769508803e-16,0.9999999999999992
2024-06-27,1.7536970139953034e-17,2.3117223196464365e-17,0.0,7.628209316382778e-17,0.0,4.397795062144327e-18,0.0,0.0,0.9999999999999999
2024-07-05,1.1847826303027656e-16,0.0,0.0,4.863456150299403e-17,0.0,5.767157493767892e-17,2.798400319614666e-17,0.0,0.9999999999999998
2024-07-12,2.7527072172209794e-12,3.4323422488555994e-11,1.090400055738582e-12,0.0,1.3286336556988692e-11,2.3761024897877136e-12,3.405398093235045e-12,8.615126668188639e-11,0.9999999998566144
2024-07-19,0.0,0.0,0.0,0.0,1.6925674007461153e-14,0.0,1.3425395608784132e-15,0.0,0.9999999999999817
2024-07-26,4.878898907864514e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999513
2024-08-02,3.8419741927181146e-13,0.0,0.0,1.0794743545977022e-13,2.3367111214321655e-13,2.55955967953549e-13,1.1193641355648854e-13,1.70400404739033e-12,0.9999999999972022
2024-08-09,0.0,2.7755575615628914e-16,2.273400579759512e-17,6.453171330633722e-16,2.0816681711721685e-16,2.983724378680108e-16,2.914335439641036e-16,0.0,0.9999999999999982
2024-08-16,1.320444752842123e-12,0.0,1.0357962109384558e-14,2.0464180964199936e-13,5.975496216974489e-12,0.0,3.5448712643736404e-13,5.367003566247172e-14,0.9999999999920809
2024-08-23,0.0,7.632783294297951e-17,2.0816681711721685e-17,2.7755575615628914e-17,8.326672684688674e-17,0.0,8.326672684688674e-17,0.0,0.9999999999999997
2024-08-30,2.6020852139652106e-17,0.0,1.541564022617728e-17,4.683753385137379e-17,0.0,3.68942603252767e-17,0.0,0.0,0.9999999999999999
2024-09-09,0.0,8.533081379044746e-17,5.69949910299513e-17,1.1615733382612644e-18,2.734606959634494e-16,1.579839266406622e-16,0.0,1.112321019356387e-17,0.9999999999999994
2024-09-16,0.0,0.0,5.798377824878474e-12,0.0,0.0,0.0,0.0,0.0,0.9999999999942016
2024-09-23,1.1238467170244554e-15,1.4139367422435315e-16,0.0,0.0,6.389095036006569e-15,0.0,0.0,0.0,0.9999999999999923
2024-09-30,0.0,5.085331705430643e-17,3.592097322716037e-17,0.0,1.0859640010157934e-16,0.0,5.176501592249479e-18,1.928524614308591e-16,0.9999999999999996
2024-10-07,0.0,4.126221229054083e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999959
2024-10-14,5.038079403283299e-09,3.8139189476541634e-06,5.0353262380382535e-09,1.6366712975106638e-06,4.2562316037925075e-05,0.00010376551945057916,1.92384579602619e-06,0.00016259229641793399,0.9996836953586468
2024-10-21,1.5318305398988548e-15,0.0,0.0,7.916787287288561e-16,0.0,3.1939164854629077e-16,0.0,0.0,0.9999999999999973
2024-10-28,0.0,1.19005151239024e-16,4.6744783743649446e-17,7.496241583200558e-20,3.570979335503109e-16,0.0,4.883566057581762e-17,1.1569623026546488e-17,0.9999999999999994
2024-11-04,1.1462137952999088e-17,0.0,0.0,1.4223377250294211e-16,0.0,0.0,5.0185008058922786e-17,0.0,0.9999999999999998
2024-11-11,2.42861286636753e-17,4.349713622655895e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
2024-11-18,0.0,0.0,1.349436738678928e-15,0.0,0.0,9.95544041190984e-16,2.4547969213845465e-16,0.0,0.9999999999999974
2024-11-25,2.0021291304470295e-16,0.0,1.6399782682924266e-17,0.0,0.0,3.621065849512134e-19,0.0,1.5815799191132296e-17,0.9999999999999998
2024-12-03,6.416989150984814e-14,0.0,0.0,1.4399650289455275e-13,1.2092840588771797e-14,0.0,2.4453816243393484e-14,3.1436039465738917e-13,0.9999999999994409
2024-12-10,3.0369549731102226e-16,0.0,0.0,2.0825436591324946e-17,0.0,0.0,0.0,0.0,0.9999999999999997
2024-12-17,0.0,1.4112246527614447e-15,0.0,9.305389909298088e-16,0.0,0.0,0.0,0.0,0.9999999999999977
2024-12-24,1.3545012959415437e-16,0.0,0.0,1.6371452804531117e-17,2.5804011705155006e-17,0.0,0.0,1.736891880321778e-16,0.9999999999999997
2025-01-02,0.0,3.896058408672788e-17,1.059063135411517e-18,5.204170427930421e-18,2.636779683484747e-16,9.903042778454063e-18,0.0,2.220446049250313e-16,0.9999999999999994
2025-01-10,4.178665930804659e-13,1.7612725168829987e-14,1.243067306916962e-13,2.829053526801553e-13,5.459311365246843e-14,3.8784830611955086e-15,1.9218382292084062e-14,2.255488314691384e-12,0.9999999999968241
2025-01-17,1.6411999758685097e-16,0.0,1.158838869407705e-16,3.366325157400711e-16,2.5847911421034114e-16,1.041475434187998e-16,0.0,1.133179035283318e-15,0.9999999999999979
2025-01-27,3.696555387958847e-17,4.457799351077332e-16,0.0,0.0,0.0,1.17195478582105e-17,0.0,0.0,0.9999999999999996
2025-02-03,4.753106315476496e-15,0.0,3.867155848313579e-14,5.040279388724096e-14,0.0,7.245090402686615e-15,2.873136487900658e-14,4.2596330157308893e-14,0.9999999999998276
2025-02-10,3.46337048694897e-17,0.0,2.017176067701755e-09,3.877690594680178e-17,1.700670246331792e-08,7.011422440557717e-21,3.2867583121198853e-10,3.096132018772423e-07,0.9999996710342437
2025-02-18,4.7704895589362195e-17,3.469446951953614e-17,0.0,0.0,2.0816681711721685e-16,0.0,4.926130224069493e-16,5.551115123125783e-17,0.9999999999999991
2025-02-25,0.0,0.0,4.336808689942018e-17,2.0383000842727483e-16,0.0,8.847089727481716e-17,0.0,2.498001805406602e-16,0.9999999999999994
2025-03-04,3.2231001247389097e-16,0.0,1.4457115992089035e-16,0.0,9.472454152439566e-16,0.0,3.349612965740812e-16,0.0,0.9999999999999982
2025-03-11,0.0,0.0,0.0,5.066186650361799e-16,0.0,6.418476861114186e-17,6.331740687315346e-17,1.5872719805187785e-15,0.9999999999999978
2025-03-18,3.821812658011403e-16,0.0,1.1709383462843448e-16,0.0,1.487525380650112e-16,2.415602440297704e-16,0.0,8.341851515103471e-16,0.9999999999999982
2025-03-25,0.0,0.0,2.7707233857142334e-16,0.0,1.7440805960055661e-15,0.0,2.9054361673900474e-16,2.1154053611124093e-16,0.9999999999999974
2025-04-01,0.0,7.19816303030608e-13,1.1633544618079403e-12,0.0,2.4617598230797903e-11,4.1772490798379093e-13,0.0,2.6405603737196795e-11,0.9999999999466759
2025-04-08,0.0,2.4198949843188674e-15,1.441100365078941e-15,1.8092837338916096e-15,2.2360298110447345e-15,0.0,2.545645882986291e-15,3.3354289358178958e-15,0.9999999999999862
2025-04-15,7.21603613593169e-15,2.4132355806826846e-14,0.0,6.455887325649071e-15,1.2699631415676164e-14,7.208128230256346e-14,7.061724804770389e-15,1.9882695798210523e-14,0.9999999999998505
2025-04-23,0.0,0.0,0.0,1.1483869410966463e-15,4.0245584642661925e-16,2.498001805406602e-16,7.91033905045424e-16,4.3368086899420177e-16,0.999999999999997
2025-04-30,0.0,8.365342360893375e-16,0.0,1.6549572633313202e-15,0.0,0.0,5.351046247041144e-16,2.606728165508581e-15,0.9999999999999943
2025-05-07,0.0,2.391157540454749e-16,2.9077635227615266e-17,0.0,5.364224450154614e-16,1.7598475319835537e-16,8.366926417804556e-17,8.039439344069208e-17,0.9999999999999989
2025-05-14,2.1913821725252898e-16,0.0,0.0,0.0,2.841321249218552e-15,0.0,9.315195306131335e-16,0.0,0.999999999999996
2025-05-21,1.0928757898653885e-16,0.0,0.0,0.0,0.0,2.905661822261152e-17,0.0,0.0,0.9999999999999999
2025-05-29,5.186094718639274e-16,0.0,0.0,1.729412196538071e-16,0.0,0.0,1.7276045281386684e-16,0.0,0.9999999999999991
2025-06-05,0.0,0.0,2.0424091885959292e-16,1.0386905106235587e-15,0.0,1.457167719820518e-16,1.1305497852783776e-16,0.0,0.9999999999999984
2025-06-12,6.438775639268803e-17,7.316337608555257e-16,0.0,2.2184917942857874e-15,0.0,3.5460273607258874e-17,0.0,0.0,0.999999999999997
2025-06-20,0.0,0.0,5.049129517264994e-16,1.7305323993330194e-16,0.0,1.1362438767648086e-16,5.065392549852277e-16,0.0,0.9999999999999987
2025-06-27,2.172741153660951e-16,1.3704315460216776e-16,0.0,5.169475958410885e-16,0.0,8.413408858487514e-17,0.0,8.500145032286355e-16,0.9999999999999982
2025-07-07,3.557752651333937e-16,0.0,2.8924693429360413e-16,8.172404379329844e-17,0.0,0.0,0.0,0.0,0.9999999999999992
2025-07-14,0.0,3.026097086061219e-16,1.0274526495727838e-15,1.821334687600509e-16,0.0,0.0,2.0801301653079272e-16,0.0,0.9999999999999983
2025-07-21,0.0,1.8419220680623136e-15,0.0,0.0,3.000151401060914e-15,2.372342535387516e-15,9.596581007508171e-16,2.4371286142978717e-10,0.999999999756279
2025-07-28,0.0,0.0,0.0,0.0,1.9480944635219544e-15,0.0,0.0,0.0,0.999999999999998
2025-08-04,0.0,0.0,2.0949573696943062e-16,4.6779564793799325e-17,0.0,0.0,7.448786562330636e-17,0.0,0.9999999999999997
2025-08-11,1.6051613163647893e-16,9.80118763926896e-17,0.0,0.0,1.445994598603495e-16,1.846396299742814e-16,0.0,1.9255430583342559e-16,0.9999999999999992
2025-08-18,0.0,1.4181364416110398e-16,7.058969343003097e-16,0.0,2.719179048593645e-16,0.0,2.298296957472809e-16,2.6351533802260185e-16,0.9999999999999983
2025-08-25,8.638656051192836e-17,0.0,1.9168694409543718e-16,8.929489092590615e-16,2.454633718507182e-16,5.945764713910506e-16,0.0,0.0,0.999999999999998
2025-09-02,0.0,0.0,2.463307335887066e-16,0.0,1.8041124150158794e-16,4.440892098500626e-16,0.0,7.632783294297951e-17,0.999999999999999
2025-09-09,8.068766719216063e-17,0.0,0.0,0.0,7.721958922984884e-16,0.0,0.0,0.0,0.9999999999999991
2025-09-16,4.888532562648194e-16,0.0,0.0,1.813600726157817e-16,0.0,5.368969158148218e-16,0.0,7.346553920761778e-16,0.9999999999999981
2025-09-23,1.0061396160665481e-16,0.0,2.463307335887066e-16,0.0,4.2717565595928875e-16,2.185751579730777e-16,2.979387569990166e-16,4.0635897424756706e-16,0.9999999999999983
2025-09-30,0.0,5.854691731421724e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994
2025-10-07,1.7217072663269325e-16,6.29276398896257e-16,0.0,0.0,1.984897362991987e-15,4.650498871628175e-16,1.0424730943390213e-15,3.339493463119965e-15,0.9999999999999923
2025-10-14,4.25225269662778e-17,0.0,0.0,0.0,4.380176776841438e-16,1.8041124150158794e-16,4.654068943510587e-16,1.9081958235744878e-16,0.9999999999999987
2025-10-21,2.0503103673862035e-11,0.0,1.4013124339682913e-11,1.0344338180736272e-11,0.0,0.0,8.76962714151089e-12,0.0,0.9999999999463698
2025-10-28,0.0,1.214306433183765e-16,0.0,0.0,0.0,0.0,1.7497430466172853e-16,0.0,0.9999999999999997
2025-11-04,2.630211502214143e-16,6.657001339060997e-16,0.0,3.537968529254698e-15,4.109559914589056e-15,2.7781596467768566e-15,5.399816698477207e-16,5.214578768786282e-15,0.9999999999999829
2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,2.2347116214161137e-16,4.082563280494167e-16,0.9999999999999993
2025-11-18,0.0,2.0816681711721685e-16,0.0,2.4160176026845435e-16,0.0,0.0,3.27423711303279e-16,0.0,0.9999999999999992
2025-11-25,1.942890293094024e-16,5.174862848473456e-16,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.9999999999999992
2025-12-03,0.0,6.308260007575171e-17,2.104474171392243e-16,0.0,5.338134247192405e-16,5.715526203421313e-17,0.0,0.0,0.9999999999999991
2025-12-10,0.0,0.0,3.1758393310088335e-16,0.0,4.475586568020162e-16,0.0,3.5759322942701544e-16,0.0,0.9999999999999989
2025-12-17,0.0,7.343283107118e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
2025-12-24,2.803119879380191e-17,4.9501875986962193e-17,0.0,5.314697898600459e-17,0.0,4.351377656634792e-17,0.0,2.6101659082820167e-16,0.9999999999999996
2026-01-02,0.0,0.0,0.0,2.5396351688300456e-15,0.0,1.6792123247455493e-15,8.187894806610529e-16,1.4988010832439613e-15,0.9999999999999934
2026-01-09,2.4358734607378264e-16,2.747346814925954e-17,0.0,1.0129353284078882e-16,1.9783552978977655e-17,7.90505310164223e-17,0.0,1.9740062800219822e-16,0.9999999999999993
2026-01-16,0.0,1.363730986013304e-16,2.1553982103459022e-17,1.3677135628777264e-16,5.810227001553405e-16,7.172886093841739e-17,0.0,2.094093085717205e-16,0.9999999999999989
2026-01-26,5.426280015565117e-17,3.3416562625046818e-06,1.1985396783640127e-16,2.5108059073594763e-08,1.1902582884239867e-08,3.233425853645948e-05,7.21939267507992e-17,5.012135676025888e-05,0.9999141657177986
2026-02-02,0.0,7.050831336339854e-17,0.0,0.0,1.27675647831893e-15,0.0,2.868135519737108e-16,0.0,0.9999999999999983
2026-02-09,0.0,4.371503159461554e-15,4.85722573273506e-16,0.0,0.0,0.0,0.0,0.0,0.9999999999999951
2026-02-17,1.745346051319893e-16,0.0,0.0,7.031979263019491e-15,6.661338147750939e-16,2.1649348980190553e-15,2.255568689642672e-15,6.0923488476305465e-15,0.9999999999999816
2026-02-24,0.0,1.33074230850064e-15,1.875289763776699e-15,0.0,2.5293033150493218e-14,2.572568723026689e-15,0.0,4.6999593488798405e-15,0.9999999999999643
2026-03-03,0.0,0.0,2.3018537225076703e-16,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
2026-03-10,5.918099990190255e-16,0.0,0.0,0.0,8.881784197001252e-16,1.3877787807814457e-16,9.36621029246764e-16,1.1657341758564144e-15,0.9999999999999962
2026-03-17,5.639738989256918e-16,0.0,2.229879216955868e-16,0.0,1.1090807874608943e-15,3.077797576291677e-16,0.0,9.988092517118884e-16,0.9999999999999968
2026-03-24,0.0,1.2711464994820454e-15,1.8038026059960956e-16,0.0,0.0,0.0,0.0,0.0,0.9999999999999986
2026-03-31,2.693158196453993e-16,1.5200514458246772e-15,1.0061396160665481e-15,0.0,0.0,0.0,0.0,0.0,0.9999999999999972
2026-04-08,0.0,4.163336342344337e-16,5.204170427930421e-17,0.0,0.0,0.0,5.575033302087087e-16,3.0531133177191805e-16,0.9999999999999987
2026-04-15,0.0,2.2232641956946384e-16,5.846871235038403e-17,0.0,1.0604161638376236e-15,0.0,0.0,0.0,0.9999999999999987
2026-04-22,9.24850016386773e-16,0.0,0.0,0.0,3.2258267237961213e-15,0.0,0.0,0.0,0.9999999999999959
2026-04-29,0.0,0.0,6.1918360730415116e-18,9.718622754270547e-17,8.8657668039686735e-16,0.0,7.914061760257423e-17,0.0,0.9999999999999989
2026-05-06,4.2791971089543563e-17,0.0,2.862293735361732e-17,0.0,0.0,1.5197428798661612e-16,0.0,4.2327252813834093e-16,0.9999999999999993
2026-05-13,0.0,0.0,0.0,0.0,1.3791051634015616e-16,4.2500725161431774e-17,0.0,0.0,0.9999999999999998
2026-05-20,1.8373136185573827e-16,2.7431071851090995e-16,0.0,1.0213361097043983e-15,0.0,6.275320540775797e-18,1.3147693052884533e-16,0.0,0.9999999999999983
2026-05-28,7.37724358016119e-17,0.0,1.6176296413483726e-16,0.0,0.0,4.81045632579805e-17,2.3960868011929648e-17,8.543513119185775e-17,0.9999999999999996
