Date,q_conformal,coverage_proxy,abstention_rate,n_trade,n_candidates
2024-02-06,0.059282200895446294,0.9025,1.0,0,8
2024-02-07,0.059282200895446294,0.9025,1.0,0,8
2024-02-08,0.059282200895446294,0.9025,1.0,0,8
2024-02-09,0.05939189001618525,0.9025,1.0,0,8
2024-02-12,0.05939189001618525,0.9025,1.0,0,8
2024-02-13,0.05966524069290937,0.9025,1.0,0,8
2024-02-14,0.05966524069290937,0.9025,1.0,0,8
2024-02-15,0.05939189001618525,0.9025,1.0,0,8
2024-02-16,0.05939189001618525,0.9025,1.0,0,8
2024-02-20,0.05939189001618525,0.9025,1.0,0,8
2024-02-21,0.05966524069290937,0.9025,1.0,0,8
2024-02-22,0.05966524069290937,0.9025,1.0,0,8
2024-02-23,0.05966524069290937,0.9025,1.0,0,8
2024-02-26,0.06024456153633634,0.9025,1.0,0,8
2024-02-27,0.06024456153633634,0.9025,1.0,0,8
2024-02-28,0.06024456153633634,0.9025,1.0,0,8
2024-02-29,0.05966524069290937,0.9025,1.0,0,8
2024-03-01,0.05939189001618525,0.9025,1.0,0,8
2024-03-04,0.05939189001618525,0.9025,1.0,0,8
2024-03-05,0.059282200895446294,0.9025,1.0,0,8
2024-03-06,0.058409078674249895,0.9025,1.0,0,8
2024-03-07,0.05758498318956868,0.9025,1.0,0,8
2024-03-08,0.057093298001503034,0.9025,1.0,0,8
2024-03-11,0.05646221694810249,0.9025,1.0,0,8
2024-03-12,0.05646221694810249,0.9025,1.0,0,8
2024-03-13,0.05646221694810249,0.9025,1.0,0,8
2024-03-14,0.05646221694810249,0.9025,1.0,0,8
2024-03-15,0.05579213256890116,0.9025,1.0,0,8
2024-03-18,0.05698888579813163,0.9025,1.0,0,8
2024-03-19,0.057093298001503034,0.9025,1.0,0,8
2024-03-20,0.057093298001503034,0.9025,1.0,0,8
2024-03-21,0.057093298001503034,0.9025,1.0,0,8
2024-03-22,0.05698888579813163,0.9025,1.0,0,8
2024-03-25,0.05646221694810249,0.9025,1.0,0,8
2024-03-26,0.05646221694810249,0.9025,1.0,0,8
2024-03-27,0.05646221694810249,0.9025,1.0,0,8
2024-03-28,0.05566205061629294,0.9025,1.0,0,8
2024-04-01,0.05488977545175491,0.9025,0.875,1,8
2024-04-02,0.054096159651994775,0.9025,0.875,1,8
2024-04-03,0.05268424159949858,0.905,0.875,1,8
2024-04-04,0.05080923075836325,0.905,0.875,1,8
2024-04-05,0.05080923075836325,0.905,0.875,1,8
2024-04-08,0.050496327906547664,0.90625,0.875,1,8
2024-04-09,0.05033381651799704,0.90625,0.875,1,8
2024-04-10,0.049955964427402764,0.90625,1.0,0,8
2024-04-11,0.049955964427402764,0.90625,0.875,1,8
2024-04-12,0.04985524339439554,0.90625,1.0,0,8
2024-04-15,0.04985524339439554,0.90625,0.875,1,8
2024-04-16,0.049653018188604646,0.90625,0.875,1,8
2024-04-17,0.049653018188604646,0.90625,0.875,1,8
2024-04-18,0.04985524339439554,0.90625,0.875,1,8
2024-04-19,0.05033381651799704,0.90625,0.875,1,8
2024-04-22,0.05033381651799704,0.9075,1.0,0,8
2024-04-23,0.05038171248408982,0.90625,1.0,0,8
2024-04-24,0.05033381651799704,0.9075,1.0,0,8
2024-04-25,0.050496327906547664,0.90625,1.0,0,8
2024-04-26,0.05080923075836325,0.905,1.0,0,8
2024-04-29,0.051638778818808656,0.90375,1.0,0,8
2024-04-30,0.051724560555322104,0.905,1.0,0,8
2024-05-01,0.05127824086153692,0.905,1.0,0,8
2024-05-02,0.050496327906547664,0.905,1.0,0,8
2024-05-03,0.050496327906547664,0.905,1.0,0,8
2024-05-06,0.05038171248408982,0.905,1.0,0,8
2024-05-07,0.05033381651799704,0.90625,1.0,0,8
2024-05-08,0.05080923075836325,0.90375,1.0,0,8
2024-05-09,0.05127824086153692,0.90375,1.0,0,8
2024-05-10,0.05080923075836325,0.90375,1.0,0,8
2024-05-13,0.05080923075836325,0.90375,1.0,0,8
2024-05-14,0.050496327906547664,0.905,1.0,0,8
2024-05-15,0.05038171248408982,0.905,1.0,0,8
2024-05-16,0.049793923167774236,0.90625,1.0,0,8
2024-05-17,0.04963722513284009,0.90625,1.0,0,8
2024-05-20,0.049468251226756334,0.90625,1.0,0,8
2024-05-21,0.04945091616938364,0.90625,1.0,0,8
2024-05-22,0.04906323586877849,0.90625,1.0,0,8
2024-05-23,0.04906323586877849,0.90625,1.0,0,8
2024-05-24,0.0485772409910868,0.90625,1.0,0,8
2024-05-28,0.0485772409910868,0.90625,1.0,0,8
2024-05-29,0.0485772409910868,0.90625,1.0,0,8
2024-05-30,0.0485682722342339,0.90625,1.0,0,8
2024-05-31,0.04830243060478013,0.90625,1.0,0,8
2024-06-03,0.047941580873931675,0.90625,1.0,0,8
2024-06-04,0.04788194585827517,0.90625,1.0,0,8
2024-06-05,0.047941580873931675,0.90625,1.0,0,8
2024-06-06,0.04803298348112842,0.90625,1.0,0,8
2024-06-07,0.04803298348112842,0.90625,1.0,0,8
2024-06-10,0.04803298348112842,0.90625,1.0,0,8
2024-06-11,0.047941580873931675,0.90625,1.0,0,8
2024-06-12,0.04788194585827517,0.90625,1.0,0,8
2024-06-13,0.04788194585827517,0.90625,1.0,0,8
2024-06-14,0.04788194585827517,0.90625,1.0,0,8
2024-06-17,0.04788194585827517,0.90625,1.0,0,8
2024-06-18,0.046879745328162595,0.90625,1.0,0,8
2024-06-20,0.046851551745388534,0.90625,1.0,0,8
2024-06-21,0.046851551745388534,0.90625,1.0,0,8
2024-06-24,0.046851551745388534,0.90625,1.0,0,8
2024-06-25,0.046851551745388534,0.90625,1.0,0,8
2024-06-26,0.04660688682140801,0.905,1.0,0,8
2024-06-27,0.04660688682140801,0.905,1.0,0,8
2024-06-28,0.04616550732701721,0.905,1.0,0,8
2024-07-01,0.04616550732701721,0.905,1.0,0,8
2024-07-02,0.046584466768885474,0.905,1.0,0,8
2024-07-03,0.04660688682140801,0.905,1.0,0,8
2024-07-05,0.046584466768885474,0.905,1.0,0,8
2024-07-08,0.046584466768885474,0.905,1.0,0,8
2024-07-09,0.04616550732701721,0.905,1.0,0,8
2024-07-10,0.04616550732701721,0.905,1.0,0,8
2024-07-11,0.04616550732701721,0.905,1.0,0,8
2024-07-12,0.04660688682140801,0.905,0.875,1,8
2024-07-15,0.04687455557799079,0.90625,0.875,1,8
2024-07-16,0.04687455557799079,0.90625,0.875,1,8
2024-07-17,0.04788194585827517,0.90625,0.875,1,8
2024-07-18,0.04803298348112842,0.9075,0.875,1,8
2024-07-19,0.04803298348112842,0.9075,1.0,0,8
2024-07-22,0.04830243060478013,0.9075,0.875,1,8
2024-07-23,0.048387994610876894,0.90625,0.875,1,8
2024-07-24,0.04906323586877849,0.9075,1.0,0,8
2024-07-25,0.049468251226756334,0.9075,0.875,1,8
2024-07-26,0.04963722513284009,0.9075,0.875,1,8
2024-07-29,0.04963722513284009,0.9075,0.875,1,8
2024-07-30,0.049653018188604646,0.9075,0.875,1,8
2024-07-31,0.049653018188604646,0.90625,0.875,1,8
2024-08-01,0.049653018188604646,0.905,1.0,0,8
2024-08-02,0.049793923167774236,0.905,1.0,0,8
2024-08-05,0.05016421040092245,0.90625,0.875,1,8
2024-08-06,0.05038171248408982,0.90625,1.0,0,8
2024-08-07,0.050385373051998375,0.90625,1.0,0,8
2024-08-08,0.05127824086153692,0.9075,1.0,0,8
2024-08-09,0.051024492983693485,0.9075,1.0,0,8
2024-08-12,0.05130316926462403,0.90625,1.0,0,8
2024-08-13,0.05210864902629489,0.9075,1.0,0,8
2024-08-14,0.05337040314257659,0.9075,1.0,0,8
2024-08-15,0.05402254388828272,0.9075,1.0,0,8
2024-08-16,0.05406640193616324,0.9075,1.0,0,8
2024-08-19,0.05488151338179002,0.9075,1.0,0,8
2024-08-20,0.05560422822768652,0.90625,1.0,0,8
2024-08-21,0.056873322615101064,0.90625,1.0,0,8
2024-08-22,0.05755035215850092,0.90625,1.0,0,8
2024-08-23,0.05755035215850092,0.90625,1.0,0,8
2024-08-26,0.05755035215850092,0.90625,1.0,0,8
2024-08-27,0.05755035215850092,0.90625,1.0,0,8
2024-08-28,0.05755035215850092,0.90625,1.0,0,8
2024-08-29,0.05755035215850092,0.90625,1.0,0,8
2024-08-30,0.05755035215850092,0.90625,1.0,0,8
2024-09-03,0.05770123427078599,0.90625,1.0,0,8
2024-09-04,0.05770123427078599,0.90625,1.0,0,8
2024-09-05,0.05770123427078599,0.90625,1.0,0,8
2024-09-06,0.05770123427078599,0.90625,1.0,0,8
2024-09-09,0.05770123427078599,0.90625,1.0,0,8
2024-09-10,0.05791318367860008,0.90625,1.0,0,8
2024-09-11,0.05791318367860008,0.90625,1.0,0,8
2024-09-12,0.05755035215850092,0.90625,1.0,0,8
2024-09-13,0.05755035215850092,0.90625,1.0,0,8
2024-09-16,0.05755035215850092,0.90625,1.0,0,8
2024-09-17,0.057361126863117,0.90625,1.0,0,8
2024-09-18,0.057361126863117,0.90625,1.0,0,8
2024-09-19,0.056873322615101064,0.90625,1.0,0,8
2024-09-20,0.05488151338179002,0.9075,1.0,0,8
2024-09-23,0.05406640193616324,0.9075,1.0,0,8
2024-09-24,0.054487442890360685,0.9075,1.0,0,8
2024-09-25,0.054487442890360685,0.9075,1.0,0,8
2024-09-26,0.054487442890360685,0.9075,1.0,0,8
2024-09-27,0.054487442890360685,0.9075,1.0,0,8
2024-09-30,0.054487442890360685,0.9075,1.0,0,8
2024-10-01,0.05402254388828272,0.9075,1.0,0,8
2024-10-02,0.05256803736865719,0.9075,1.0,0,8
2024-10-03,0.05256803736865719,0.9075,0.875,1,8
2024-10-04,0.05256803736865719,0.9075,0.875,1,8
2024-10-07,0.05256803736865719,0.9075,0.875,1,8
2024-10-08,0.05289504456598946,0.9075,1.0,0,8
2024-10-09,0.05289504456598946,0.9075,1.0,0,8
2024-10-10,0.053548856613341946,0.9075,1.0,0,8
2024-10-11,0.053548856613341946,0.9075,1.0,0,8
2024-10-14,0.053548856613341946,0.9075,1.0,0,8
2024-10-15,0.05402254388828272,0.9075,1.0,0,8
2024-10-16,0.05402254388828272,0.9075,1.0,0,8
2024-10-17,0.05402254388828272,0.9075,1.0,0,8
2024-10-18,0.05402254388828272,0.9075,1.0,0,8
2024-10-21,0.05402254388828272,0.9075,1.0,0,8
2024-10-22,0.05289504456598946,0.9075,1.0,0,8
2024-10-23,0.05289504456598946,0.9075,1.0,0,8
2024-10-24,0.053548856613341946,0.9075,1.0,0,8
2024-10-25,0.053548856613341946,0.9075,1.0,0,8
2024-10-28,0.05289504456598946,0.9075,1.0,0,8
2024-10-29,0.05259359100217509,0.9075,1.0,0,8
2024-10-30,0.05259359100217509,0.9075,1.0,0,8
2024-10-31,0.05259359100217509,0.9075,1.0,0,8
2024-11-01,0.05259359100217509,0.9075,1.0,0,8
2024-11-04,0.05259359100217509,0.9075,1.0,0,8
2024-11-05,0.05259359100217509,0.9075,1.0,0,8
2024-11-06,0.05259359100217509,0.9075,1.0,0,8
2024-11-07,0.053548856613341946,0.90875,0.875,1,8
2024-11-08,0.05406640193616324,0.90875,0.875,1,8
2024-11-11,0.05407268668547102,0.91,0.875,1,8
2024-11-12,0.055584661761001145,0.90875,1.0,0,8
2024-11-13,0.05599102052833621,0.90875,1.0,0,8
2024-11-14,0.05636488558172907,0.9075,1.0,0,8
2024-11-15,0.057399384189718704,0.90875,1.0,0,8
2024-11-18,0.05770123427078599,0.90875,1.0,0,8
2024-11-19,0.05811277797887765,0.90875,1.0,0,8
2024-11-20,0.058258311534383496,0.90875,1.0,0,8
2024-11-21,0.058258311534383496,0.90875,1.0,0,8
2024-11-22,0.058258311534383496,0.90875,1.0,0,8
2024-11-25,0.05902543963506718,0.90875,1.0,0,8
2024-11-26,0.059042035536504514,0.90875,1.0,0,8
2024-11-27,0.059042035536504514,0.90875,1.0,0,8
2024-11-29,0.059042035536504514,0.90875,1.0,0,8
2024-12-02,0.059042035536504514,0.90875,1.0,0,8
2024-12-03,0.059042035536504514,0.90875,1.0,0,8
2024-12-04,0.05902543963506718,0.90875,1.0,0,8
2024-12-05,0.058547055567941125,0.90875,1.0,0,8
2024-12-06,0.058547055567941125,0.90875,1.0,0,8
2024-12-09,0.058258311534383496,0.9075,1.0,0,8
2024-12-10,0.058547055567941125,0.9075,1.0,0,8
2024-12-11,0.058547055567941125,0.9075,1.0,0,8
2024-12-12,0.05902543963506718,0.9075,1.0,0,8
2024-12-13,0.058258311534383496,0.9075,1.0,0,8
2024-12-16,0.05811277797887765,0.9075,1.0,0,8
2024-12-17,0.05770123427078599,0.9075,1.0,0,8
2024-12-18,0.05770123427078599,0.9075,1.0,0,8
2024-12-19,0.05811277797887765,0.9075,1.0,0,8
2024-12-20,0.057824736289803724,0.9075,1.0,0,8
2024-12-23,0.05770123427078599,0.90875,1.0,0,8
2024-12-24,0.05770123427078599,0.90875,1.0,0,8
2024-12-26,0.057399384189718704,0.9075,1.0,0,8
2024-12-27,0.057399384189718704,0.9075,1.0,0,8
2024-12-30,0.05636488558172907,0.90625,1.0,0,8
2024-12-31,0.055272196772602554,0.90625,1.0,0,8
2025-01-02,0.05501684815355949,0.90625,1.0,0,8
2025-01-03,0.05407268668547102,0.90625,1.0,0,8
2025-01-06,0.05299404567770001,0.9075,1.0,0,8
2025-01-07,0.05259359100217509,0.9075,1.0,0,8
2025-01-08,0.05208666833087293,0.9075,1.0,0,8
2025-01-10,0.051650021419817754,0.9075,1.0,0,8
2025-01-13,0.05151645042777851,0.90625,1.0,0,8
2025-01-14,0.0506477068669257,0.9075,1.0,0,8
2025-01-15,0.050603698462182205,0.9075,1.0,0,8
2025-01-16,0.05040024296531955,0.9075,1.0,0,8
2025-01-17,0.050603698462182205,0.9075,1.0,0,8
2025-01-21,0.05098958595917224,0.9075,1.0,0,8
2025-01-22,0.05184412532076271,0.9075,1.0,0,8
2025-01-23,0.05259359100217509,0.9075,1.0,0,8
2025-01-24,0.05289483331216853,0.9075,1.0,0,8
2025-01-27,0.05289504456598946,0.9075,1.0,0,8
2025-01-28,0.05289504456598946,0.9075,1.0,0,8
2025-01-29,0.05299404567770001,0.9075,1.0,0,8
2025-01-30,0.05341182792782209,0.9075,1.0,0,8
2025-01-31,0.05341182792782209,0.9075,1.0,0,8
2025-02-03,0.05341182792782209,0.9075,1.0,0,8
2025-02-04,0.05289483331216853,0.9075,1.0,0,8
2025-02-05,0.05289483331216853,0.9075,0.875,1,8
2025-02-06,0.05289483331216853,0.9075,1.0,0,8
2025-02-07,0.05289483331216853,0.9075,1.0,0,8
2025-02-10,0.05259359100217509,0.9075,0.875,1,8
2025-02-11,0.05208900633495547,0.9075,1.0,0,8
2025-02-12,0.052046098016267014,0.9075,1.0,0,8
2025-02-13,0.052046098016267014,0.9075,1.0,0,8
2025-02-14,0.052046098016267014,0.9075,1.0,0,8
2025-02-18,0.052046098016267014,0.9075,1.0,0,8
2025-02-19,0.05184412532076271,0.9075,1.0,0,8
2025-02-20,0.05184412532076271,0.9075,1.0,0,8
2025-02-21,0.05184412532076271,0.9075,1.0,0,8
2025-02-24,0.052046098016267014,0.9075,1.0,0,8
2025-02-25,0.05208666833087293,0.9075,1.0,0,8
2025-02-26,0.05289483331216853,0.9075,1.0,0,8
2025-02-27,0.05349796373264182,0.90625,1.0,0,8
2025-02-28,0.05407268668547102,0.90625,1.0,0,8
2025-03-03,0.0545402594164257,0.90625,1.0,0,8
2025-03-04,0.054603879020262557,0.90625,1.0,0,8
2025-03-05,0.0545402594164257,0.90625,1.0,0,8
2025-03-06,0.0545402594164257,0.90625,1.0,0,8
2025-03-07,0.05407268668547102,0.90625,1.0,0,8
2025-03-10,0.0545402594164257,0.90625,1.0,0,8
2025-03-11,0.054603879020262557,0.90625,1.0,0,8
2025-03-12,0.0545402594164257,0.90625,1.0,0,8
2025-03-13,0.05407268668547102,0.90625,1.0,0,8
2025-03-14,0.05399201395767825,0.90625,1.0,0,8
2025-03-17,0.05395229164056194,0.90625,1.0,0,8
2025-03-18,0.05407268668547102,0.90625,1.0,0,8
2025-03-19,0.055272196772602554,0.90625,1.0,0,8
2025-03-20,0.05550292739506765,0.90625,1.0,0,8
2025-03-21,0.05580938646627753,0.90625,1.0,0,8
2025-03-24,0.0565035500563881,0.90625,1.0,0,8
2025-03-25,0.057204219778080094,0.90625,1.0,0,8
2025-03-26,0.058547055567941125,0.905,1.0,0,8
2025-03-27,0.058812519488027536,0.905,1.0,0,8
2025-03-28,0.05886515200419142,0.905,1.0,0,8
2025-03-31,0.05886515200419142,0.905,1.0,0,8
